Temperature - (Celsius), Year, Statistics, Country, ISO3
26.6, 2005, Sep Average, Ghana, GHA
27.4, 2005, Oct Average, Ghana, GHA
28.1, 2005, Nov Average, Ghana, GHA
27.7, 2005, Dec Average, Ghana, GHA
27.6, 2006, Jan Average, Ghana, GHA
29.8, 2006, Feb Average, Ghana, GHA
29.9, 2006, Mar Average, Ghana, GHA
30.2, 2006, Apr Average, Ghana, GHA
28.2, 2006, May Average, Ghana, GHA
27.6, 2006, Jun Average, Ghana, GHA
26.7, 2006, Jul Average, Ghana, GHA
25.9, 2006, Aug Average, Ghana, GHA
26.2, 2006, Sep Average, Ghana, GHA
27.3, 2006, Oct Average, Ghana, GHA
27.2, 2006, Nov Average, Ghana, GHA
26.7, 2006, Dec Average, Ghana, GHA
26.6, 2007, Jan Average, Ghana, GHA
29.7, 2007, Feb Average, Ghana, GHA
30.4, 2007, Mar Average, Ghana, GHA
29.5, 2007, Apr Average, Ghana, GHA
28.6, 2007, May Average, Ghana, GHA
27.4, 2007, Jun Average, Ghana, GHA
26.4, 2007, Jul Average, Ghana, GHA
25.6, 2007, Aug Average, Ghana, GHA
26.4, 2007, Sep Average, Ghana, GHA
27.4, 2007, Oct Average, Ghana, GHA
28.1, 2007, Nov Average, Ghana, GHA
27.1, 2007, Dec Average, Ghana, GHA
25.4, 2008, Jan Average, Ghana, GHA
28.9, 2008, Feb Average, Ghana, GHA
29.9, 2008, Mar Average, Ghana, GHA
29.7, 2008, Apr Average, Ghana, GHA
28.5, 2008, May Average, Ghana, GHA
26.9, 2008, Jun Average, Ghana, GHA
25.9, 2008, Jul Average, Ghana, GHA
25.6, 2008, Aug Average, Ghana, GHA
26.2, 2008, Sep Average, Ghana, GHA
27.2, 2008, Oct Average, Ghana, GHA
27.6, 2008, Nov Average, Ghana, GHA
27.5, 2008, Dec Average, Ghana, GHA
27.3, 2009, Jan Average, Ghana, GHA
30.3, 2009, Feb Average, Ghana, GHA
30.3, 2009, Mar Average, Ghana, GHA
29.2, 2009, Apr Average, Ghana, GHA
28.7, 2009, May Average, Ghana, GHA
27.2, 2009, Jun Average, Ghana, GHA
26.3, 2009, Jul Average, Ghana, GHA
25.8, 2009, Aug Average, Ghana, GHA
26.4, 2009, Sep Average, Ghana, GHA
27.1, 2009, Oct Average, Ghana, GHA
27.3, 2009, Nov Average, Ghana, GHA
27.6, 2009, Dec Average, Ghana, GHA
28.2, 2010, Jan Average, Ghana, GHA
30.6, 2010, Feb Average, Ghana, GHA
31.1, 2010, Mar Average, Ghana, GHA
30.3, 2010, Apr Average, Ghana, GHA
29.0, 2010, May Average, Ghana, GHA
27.6, 2010, Jun Average, Ghana, GHA
26.3, 2010, Jul Average, Ghana, GHA
26.0, 2010, Aug Average, Ghana, GHA
26.2, 2010, Sep Average, Ghana, GHA
27.0, 2010, Oct Average, Ghana, GHA
27.9, 2010, Nov Average, Ghana, GHA
26.9, 2010, Dec Average, Ghana, GHA
27.2, 2011, Jan Average, Ghana, GHA
29.5, 2011, Feb Average, Ghana, GHA
30.6, 2011, Mar Average, Ghana, GHA
29.9, 2011, Apr Average, Ghana, GHA
28.8, 2011, May Average, Ghana, GHA
27.4, 2011, Jun Average, Ghana, GHA
26.3, 2011, Jul Average, Ghana, GHA
25.8, 2011, Aug Average, Ghana, GHA
26.4, 2011, Sep Average, Ghana, GHA
27.2, 2011, Oct Average, Ghana, GHA
27.9, 2011, Nov Average, Ghana, GHA
26.4, 2011, Dec Average, Ghana, GHA
27.2, 2012, Jan Average, Ghana, GHA
29.2, 2012, Feb Average, Ghana, GHA
30.1, 2012, Mar Average, Ghana, GHA
29.3, 2012, Apr Average, Ghana, GHA
28.0, 2012, May Average, Ghana, GHA
26.9, 2012, Jun Average, Ghana, GHA
25.9, 2012, Jul Average, Ghana, GHA
25.6, 2012, Aug Average, Ghana, GHA
26.1, 2012, Sep Average, Ghana, GHA
27.2, 2012, Oct Average, Ghana, GHA
28.1, 2012, Nov Average, Ghana, GHA
27.1, 2012, Dec Average, Ghana, GHA
27.4, 2013, Jan Average, Ghana, GHA
30.1, 2013, Feb Average, Ghana, GHA
30.6, 2013, Mar Average, Ghana, GHA
29.3, 2013, Apr Average, Ghana, GHA
28.3, 2013, May Average, Ghana, GHA
27.1, 2013, Jun Average, Ghana, GHA
26.0, 2013, Jul Average, Ghana, GHA
25.5, 2013, Aug Average, Ghana, GHA
26.4, 2013, Sep Average, Ghana, GHA
27.1, 2013, Oct Average, Ghana, GHA
28.0, 2013, Nov Average, Ghana, GHA
26.8, 2013, Dec Average, Ghana, GHA
