Rainfall - (MM), Year, Statistics, Country, ISO3
17.5, 2013, Feb Average, Ghana, GHA
93.9, 2013, Mar Average, Ghana, GHA
128.3, 2013, Apr Average, Ghana, GHA
136.1, 2013, May Average, Ghana, GHA
119.9, 2013, Jun Average, Ghana, GHA
122.8, 2013, Jul Average, Ghana, GHA
96.7, 2013, Aug Average, Ghana, GHA
150.7, 2013, Sep Average, Ghana, GHA
119.4, 2013, Oct Average, Ghana, GHA
52.6, 2013, Nov Average, Ghana, GHA
18.3, 2013, Dec Average, Ghana, GHA
20.9, 2014, Jan Average, Ghana, GHA
32.9, 2014, Feb Average, Ghana, GHA
81.0, 2014, Mar Average, Ghana, GHA
113.7, 2014, Apr Average, Ghana, GHA
128.8, 2014, May Average, Ghana, GHA
179.5, 2014, Jun Average, Ghana, GHA
136.9, 2014, Jul Average, Ghana, GHA
126.6, 2014, Aug Average, Ghana, GHA
201.4, 2014, Sep Average, Ghana, GHA
110.3, 2014, Oct Average, Ghana, GHA
61.7, 2014, Nov Average, Ghana, GHA
8.6, 2014, Dec Average, Ghana, GHA
3.5, 2015, Jan Average, Ghana, GHA
64.2, 2015, Feb Average, Ghana, GHA
80.4, 2015, Mar Average, Ghana, GHA
64.0, 2015, Apr Average, Ghana, GHA
113.3, 2015, May Average, Ghana, GHA
127.8, 2015, Jun Average, Ghana, GHA
116.4, 2015, Jul Average, Ghana, GHA
159.3, 2015, Aug Average, Ghana, GHA
128.0, 2015, Sep Average, Ghana, GHA
164.4, 2015, Oct Average, Ghana, GHA
39.1, 2015, Nov Average, Ghana, GHA
2.8, 2015, Dec Average, Ghana, GHA
3.5, 2016, Jan Average, Ghana, GHA
11.5, 2016, Feb Average, Ghana, GHA
90.3, 2016, Mar Average, Ghana, GHA
83.0, 2016, Apr Average, Ghana, GHA
170.7, 2016, May Average, Ghana, GHA
149.2, 2016, Jun Average, Ghana, GHA
146.7, 2016, Jul Average, Ghana, GHA
141.9, 2016, Aug Average, Ghana, GHA
210.2, 2016, Sep Average, Ghana, GHA
90.4, 2016, Oct Average, Ghana, GHA
42.2, 2016, Nov Average, Ghana, GHA
19.3, 2016, Dec Average, Ghana, GHA
14.8, 2017, Jan Average, Ghana, GHA
17.5, 2017, Feb Average, Ghana, GHA
40.6, 2017, Mar Average, Ghana, GHA
104.8, 2017, Apr Average, Ghana, GHA
142.7, 2017, May Average, Ghana, GHA
219.6, 2017, Jun Average, Ghana, GHA
129.3, 2017, Jul Average, Ghana, GHA
138.4, 2017, Aug Average, Ghana, GHA
122.1, 2017, Sep Average, Ghana, GHA
107.0, 2017, Oct Average, Ghana, GHA
49.6, 2017, Nov Average, Ghana, GHA
10.9, 2017, Dec Average, Ghana, GHA
3.9, 2018, Jan Average, Ghana, GHA
49.7, 2018, Feb Average, Ghana, GHA
82.7, 2018, Mar Average, Ghana, GHA
88.4, 2018, Apr Average, Ghana, GHA
139.4, 2018, May Average, Ghana, GHA
166.5, 2018, Jun Average, Ghana, GHA
157.6, 2018, Jul Average, Ghana, GHA
181.5, 2018, Aug Average, Ghana, GHA
202.7, 2018, Sep Average, Ghana, GHA
156.1, 2018, Oct Average, Ghana, GHA
27.7, 2018, Nov Average, Ghana, GHA
12.2, 2018, Dec Average, Ghana, GHA
9.5, 2019, Jan Average, Ghana, GHA
28.3, 2019, Feb Average, Ghana, GHA
86.4, 2019, Mar Average, Ghana, GHA
105.1, 2019, Apr Average, Ghana, GHA
149.8, 2019, May Average, Ghana, GHA
184.5, 2019, Jun Average, Ghana, GHA
196.7, 2019, Jul Average, Ghana, GHA
154.9, 2019, Aug Average, Ghana, GHA
191.9, 2019, Sep Average, Ghana, GHA
228.2, 2019, Oct Average, Ghana, GHA
53.0, 2019, Nov Average, Ghana, GHA
9.9, 2019, Dec Average, Ghana, GHA
8.8, 2020, Jan Average, Ghana, GHA
7.0, 2020, Feb Average, Ghana, GHA
73.3, 2020, Mar Average, Ghana, GHA
105.3, 2020, Apr Average, Ghana, GHA
138.2, 2020, May Average, Ghana, GHA
182.3, 2020, Jun Average, Ghana, GHA
155.6, 2020, Jul Average, Ghana, GHA
128.3, 2020, Aug Average, Ghana, GHA
215.6, 2020, Sep Average, Ghana, GHA
139.8, 2020, Oct Average, Ghana, GHA
22.9, 2020, Nov Average, Ghana, GHA
15.3, 2020, Dec Average, Ghana, GHA
